P,Num,Origin,simple_4_A_normal,simple_4_B_normal,simple_4_A_flipped,simple_4_B_flipped,simple_4_A_count,simple_4_B_count,simple_4_choice,simple_4_flipped_choice
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His gaze drifted to the barista, where it landed on her captivating green eyes and the deep, velvety darkness of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""How can I be of assistance to you right now?"" As Evan savored his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he found himself deeply immersed in a conversation with Emilie that felt like they'd been acquaintances for years. He discovered that she was immersed in the study of art history at the Sorbonne, and her love for photography was absolute. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they savored their coffee in the warm glow of the late afternoon, Emilie suggested a tour of the city's lesser-known attractions. Under her watchful eye, they wandered leisurely through the narrow streets of Montmartre, enjoyed a tranquil evening meal by the Seine, and reveled in the enchantment of the Eiffel Tower's sparkling lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",51,A,1.0,0.0,0.8,0.2,0.9,0.1,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The scent of freshly brewed coffee drifted through the air, leading him straight to the counter. As he gazed, he spotted her – Emilie, whose luminous smile and vibrant green eyes sparkled with an inner radiance, reminiscent of exquisite gems. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She nurtured a network of local creatives, introduced him to forward-thinking writers, and candidly shared her own journey as a skilled artisan. Evan's fascination with the enigmatic woman grew more intense with each passing hour. As they parted ways, Emilie scribbled her phone number on a crumpled napkin, her farewell a gentle ""À bientôt"" (see you soon).",51,B,0.2,0.8,0.0,1.0,0.1,0.9,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His gaze drifted to the barista, where it landed on her captivating green eyes and the deep, velvety darkness of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he found himself deeply immersed in a conversation with Emilie that felt like they'd been acquaintances for years. He discovered that she was immersed in the study of art history at the Sorbonne, and her love for photography was absolute. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they savored their coffee in the warm glow of the late afternoon, Emilie suggested a tour of the city's lesser-known attractions. Under her watchful eye, they wandered leisurely through the narrow streets of Montmartre, enjoyed a tranquil evening meal by the Seine, and reveled in the enchantment of the Eiffel Tower's sparkling lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",52,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The scent of freshly brewed coffee drifted through the air, leading him straight to the counter. As he gazed, he spotted her – Emilie, whose luminous smile and vibrant green eyes sparkled with an inner radiance, reminiscent of exquisite gems. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She fostered a community of local artists, connected him with innovative writers, and openly discussed her own path as a master craftsman. Evan's fascination with the enigmatic woman grew more intense with each passing hour. As they parted ways, Emilie scribbled her phone number on a crumpled napkin, her farewell a gentle ""À bientôt"" (see you soon).",52,B,0.2,0.8,0.0,1.0,0.1,0.9,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His attention wandered to the barista, where it settled on her striking green eyes and the rich, inky hue of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he found himself deeply immersed in a conversation with Emilie that felt like they'd been acquaintances for years. He discovered that she was immersed in the study of art history at the Sorbonne, and her love for photography was absolute. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they savored their coffee in the warm glow of the late afternoon, Emilie suggested a tour of the city's lesser-known attractions. Under her watchful eye, they wandered leisurely through the narrow streets of Montmartre, enjoyed a tranquil evening meal by the Seine, and reveled in the enchantment of the Eiffel Tower's sparkling lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",53,A,1.0,0.0,0.8,0.2,0.9,0.1,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The aroma of freshly brewed coffee wafted through the air, guiding him directly to the counter. As he gazed, he spotted her – Emilie, whose luminous smile and vibrant green eyes sparkled with an inner radiance, reminiscent of exquisite gems. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She fostered a community of local artists, connected him with innovative writers, and openly discussed her own path as a master craftsman. Evan's fascination with the enigmatic woman grew more intense with each passing hour. As they parted ways, Emilie scribbled her phone number on a crumpled napkin, her farewell a gentle ""À bientôt"" (see you soon).",53,B,0.2,0.8,0.0,1.0,0.1,0.9,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His attention wandered to the barista, where it settled on her striking green eyes and the rich, inky hue of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he found himself deeply immersed in a conversation with Emilie that felt like they'd been acquaintances for years. He found out that she was deeply invested in studying art history at the Sorbonne, and her passion for photography was unwavering. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they savored their coffee in the warm glow of the late afternoon, Emilie suggested a tour of the city's lesser-known attractions. Under her watchful eye, they wandered leisurely through the narrow streets of Montmartre, enjoyed a tranquil evening meal by the Seine, and reveled in the enchantment of the Eiffel Tower's sparkling lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",54,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The aroma of freshly brewed coffee wafted through the air, guiding him directly to the counter. As he gazed, he spotted her – Emilie, whose luminous smile and vibrant green eyes sparkled with an inner radiance, reminiscent of exquisite gems. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She nurtured a network of local creatives, introduced him to visionary writers, and candidly shared her own journey as a skilled artisan. Evan's fascination with the enigmatic woman grew more intense with each passing hour. As they parted ways, Emilie scribbled her phone number on a crumpled napkin, her farewell a gentle ""À bientôt"" (see you soon).",54,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His attention wandered to the barista, where it settled on her striking green eyes and the rich, inky hue of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation flowed effortlessly, and before he knew it, he was fully engaged in a conversation with Emilie that felt as though they'd known each other for a long time. He found out that she was deeply invested in studying art history at the Sorbonne, and her passion for photography was unwavering. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they savored their coffee in the warm glow of the late afternoon, Emilie suggested a tour of the city's lesser-known attractions. Under her watchful eye, they wandered leisurely through the narrow streets of Montmartre, enjoyed a tranquil evening meal by the Seine, and reveled in the enchantment of the Eiffel Tower's sparkling lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",55,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The aroma of freshly brewed coffee wafted through the air, guiding him directly to the counter. As he looked, he caught sight of her – Emilie, whose radiant smile and captivating emerald eyes shone with an inner light, evoking the beauty of precious jewels. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She nurtured a network of local creatives, introduced him to visionary writers, and candidly shared her own journey as a skilled artisan. Evan's fascination with the enigmatic woman grew more intense with each passing hour. As they parted ways, Emilie scribbled her phone number on a crumpled napkin, her farewell a gentle ""À bientôt"" (see you soon).",55,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His attention wandered to the barista, where it settled on her striking green eyes and the rich, inky hue of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation flowed effortlessly, and before he knew it, he was fully engaged in a conversation with Emilie that felt as though they'd known each other for a long time. He found out that she was deeply invested in studying art history at the Sorbonne, and her passion for photography was unwavering. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they lingered over their coffee in the soft light of the late afternoon, Emilie proposed a visit to the city's hidden gems. Under her watchful eye, they wandered leisurely through the narrow streets of Montmartre, enjoyed a tranquil evening meal by the Seine, and reveled in the enchantment of the Eiffel Tower's sparkling lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",56,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The aroma of freshly brewed coffee wafted through the air, guiding him directly to the counter. As he looked, he caught sight of her – Emilie, whose radiant smile and captivating emerald eyes shone with an inner light, evoking the beauty of precious jewels. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She fostered a community of local artists, connected him with influential authors, and openly discussed her own path as a master craftsman. Evan's fascination with the enigmatic woman grew more intense with each passing hour. As they parted ways, Emilie scribbled her phone number on a crumpled napkin, her farewell a gentle ""À bientôt"" (see you soon).",56,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His gaze drifted to the barista, where it landed on her captivating green eyes and the deep, dark color of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation flowed effortlessly, and before he knew it, he was fully engaged in a conversation with Emilie that felt as though they'd known each other for a long time. He found out that she was deeply invested in studying art history at the Sorbonne, and her passion for photography was unwavering. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they lingered over their coffee in the soft light of the late afternoon, Emilie proposed a visit to the city's hidden gems. Under her watchful eye, they wandered leisurely through the narrow streets of Montmartre, enjoyed a tranquil evening meal by the Seine, and reveled in the enchantment of the Eiffel Tower's sparkling lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",57,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The aroma of freshly brewed coffee wafted through the air, guiding him directly to the counter. As he looked, he caught sight of her – Emilie, whose radiant smile and captivating emerald eyes shone with an inner light, evoking the beauty of precious jewels. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She fostered a community of local artists, connected him with influential authors, and openly discussed her own path as a master craftsman. Evan's fascination with the enigmatic woman grew more intense with each passing hour. As they said their goodbyes, Emilie hastily jotted down her phone number on a crumpled napkin, her parting words a soft ""À bientôt"" (see you soon).",57,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His attention wandered to the barista, where it settled on her striking green eyes and the rich, inky hue of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation flowed effortlessly, and before he knew it, he was fully engaged in a conversation with Emilie that felt as though they'd known each other for a long time. He found out that she was deeply invested in studying art history at the Sorbonne, and her passion for photography was unwavering. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they lingered over their coffee in the soft light of the late afternoon, Emilie proposed a visit to the city's hidden gems. Under her watchful eye, they wandered leisurely through the narrow streets of Montmartre, enjoyed a tranquil evening meal by the Seine, and reveled in the enchantment of the Eiffel Tower's sparkling lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",58,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The scent of freshly brewed coffee drifted through the air, leading him straight to the counter. As he looked, he caught sight of her – Emilie, whose radiant smile and captivating emerald eyes shone with an inner light, evoking the beauty of precious jewels. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She fostered a community of local artists, connected him with influential authors, and openly discussed her own path as a master craftsman. Evan's fascination with the enigmatic woman grew more intense with each passing hour. As they said their goodbyes, Emilie hastily jotted down her phone number on a crumpled napkin, her parting words a soft ""À bientôt"" (see you soon).",58,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His attention wandered to the barista, where it settled on her striking green eyes and the rich, inky hue of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation flowed effortlessly, and before he knew it, he was fully engaged in a conversation with Emilie that felt as though they'd known each other for a long time. He discovered that she was thoroughly committed to studying art history at the Sorbonne, and her enthusiasm for photography remained unshakeable. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they lingered over their coffee in the soft light of the late afternoon, Emilie proposed a visit to the city's hidden gems. Under her watchful eye, they wandered leisurely through the narrow streets of Montmartre, enjoyed a tranquil evening meal by the Seine, and reveled in the enchantment of the Eiffel Tower's sparkling lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",59,A,1.0,0.0,0.8,0.2,0.9,0.1,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The scent of freshly brewed coffee drifted through the air, leading him straight to the counter. As he looked, he caught sight of her – Emilie, whose radiant smile and captivating emerald eyes shone with an inner light, evoking the beauty of precious jewels. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She fostered a community of local artists, connected him with influential authors, and openly discussed her own path as a master craftsman. Evan's intrigue with the mysterious woman deepened with each passing hour. As they said their goodbyes, Emilie hastily jotted down her phone number on a crumpled napkin, her parting words a soft ""À bientôt"" (see you soon).",59,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His attention wandered to the barista, where it settled on her striking green eyes and the rich, inky hue of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation flowed effortlessly, and before he knew it, he was fully engaged in a conversation with Emilie that felt as though they'd known each other for a long time. He discovered that she was thoroughly committed to studying art history at the Sorbonne, and her enthusiasm for photography remained unshakeable. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they lingered over their coffee in the soft light of the late afternoon, Emilie proposed a visit to the city's hidden gems. Under her watchful gaze, they strolled idly through the winding alleys of Montmartre, savored a peaceful dinner by the Seine, and basked in the magic of the Eiffel Tower's twinkling lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",60,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The scent of freshly brewed coffee drifted through the air, leading him straight to the counter. As he looked, he caught sight of her – Emilie, whose radiant smile and captivating emerald eyes shone with an inner light, evoking the beauty of precious jewels. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She fostered a community of local artists, connected him with influential authors, and openly discussed her own path as a master craftsman. Evan's intrigue with the mysterious woman deepened with each passing hour. As they parted ways, Emilie scribbled her phone number on a crumpled napkin, her farewell a gentle ""À bientôt"" (see you soon).",60,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His attention wandered to the barista, where it settled on her striking green eyes and the rich, inky hue of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation flowed effortlessly, and before he knew it, he was fully engaged in a conversation with Emilie that felt as though they'd known each other for a long time. He discovered that she was thoroughly committed to studying art history at the Sorbonne, and her enthusiasm for photography remained unshakeable. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they lingered over their coffee in the soft light of the late afternoon, Emilie proposed a visit to the city's hidden gems. As she looked on, they wandered leisurely through the narrow streets of Montmartre, enjoyed a serene meal by the Seine, and were enchanted by the Eiffel Tower's sparkling lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",61,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The aroma of freshly brewed coffee wafted through the air, guiding him directly to the counter. As he looked, he caught sight of her – Emilie, whose radiant smile and captivating emerald eyes shone with an inner light, evoking the beauty of precious jewels. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She fostered a community of local artists, connected him with influential authors, and openly discussed her own path as a master craftsman. Evan's intrigue with the mysterious woman deepened with each passing hour. As they parted ways, Emilie scribbled her phone number on a crumpled napkin, her farewell a gentle ""À bientôt"" (see you soon).",61,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His attention wandered to the barista, where it settled on her striking green eyes and the rich, inky hue of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation flowed effortlessly, and before he knew it, he was fully engaged in a conversation with Emilie that felt as though they'd known each other for a long time. He discovered that she was thoroughly committed to studying art history at the Sorbonne, and her enthusiasm for photography remained unshakeable. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they lingered over their coffee in the soft light of the late afternoon, Emilie proposed a visit to the city's hidden gems. As she watched, they strolled idly through the winding alleys of Montmartre, savored a peaceful dinner by the Seine, and were captivated by the Eiffel Tower's dazzling display of lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",62,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"As he wandered through the picturesque streets of Montmartre, Evan felt the infectious energy of this renowned Parisian neighborhood taking hold of him. Having spent three days soaking up the city's unique character, he was now eager to indulge in every enchanting experience Paris had to offer. As he turned the corner, a quaint bakery caught his attention, and his appetite was stirred by the mouthwatering scent of a crispy, golden pastry. The aroma of freshly brewed coffee wafted through the air, guiding him directly to the counter. As he looked, he caught sight of her – Emilie, whose radiant smile and captivating emerald eyes shone with an inner light, evoking the beauty of precious jewels. She greeted him warmly with a radiant smile and a cheerful ""Bonjour!"" as she expertly crafted his drink. Evan found that Emilie's passion for the arts, literature, and French culture rivaled her exceptional skill as a coffee maker. Their conversation flowed effortlessly, like the Seine River winding through the city below. As he lingered over his coffee, Evan felt an inexplicable pull towards Emilie, reluctant to let her go. She fostered a community of local artists, connected him with influential authors, and openly discussed her own path as a master craftsman. Evan's intrigue with the mysterious woman deepened with each passing hour. As they said their goodbyes, Emilie hastily jotted down her phone number on a crumpled napkin, her parting words a soft ""À bientôt"" (see you soon).",62,B,0.2,0.8,0.0,1.0,0.1,0.9,B,B
"Evan ducked into the quaint Rue Cler café, escaping the harsh chill of the Parisian morning. His attention wandered to the barista, where it settled on her striking green eyes and the rich, inky hue of her hair. A name tag bearing the name ""Emilie"" caught his attention, and it seemed she was conscious of his admiring glance. She greeted him warmly, speaking English with effortless precision. ""Bonjour! Welcome to our café. ""What can I do to support you at this moment?"" As Evan savored his coffee, their conversation flowed effortlessly, and before he knew it, he was fully engaged in a conversation with Emilie that felt as though they'd known each other for a long time. He found that she was deeply invested in pursuing a degree in art history at the Sorbonne, and her passion for photography remained unwavering. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they lingered over their coffee in the soft light of the late afternoon, Emilie proposed a visit to the city's hidden gems. As she watched, they strolled idly through the winding alleys of Montmartre, savored a peaceful dinner by the Seine, and were captivated by the Eiffel Tower's dazzling display of lights. As time passed, Evan found himself growing more and more infatuated with the charming French woman. As they parted ways on his last evening in Paris, Emilie's voice trembling with emotion, she whispered, ""We'll cross paths again soon, won't we?""",63,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
